0.00, 0.00, -0.03, -0.02
0.00, 0.00, -0.08, -0.06
0.00, 0.49, -0.08, -0.06
20.85, 21.69, -0.05, -0.04
20.43, 39.34, 0.00, 0.00
15.37, 17.97, 0.00, 0.00
12.44, 13.84, -0.07, -0.06
20.73, 24.38, -0.07, -0.06
24.88, 31.52, 0.12, 0.10
38.18, 41.76, 0.27, 0.22
32.65, 38.46, 0.27, 0.22
43.47, 45.12, 0.57, 0.46
35.92, 47.30, 0.57, 0.46
56.53, 48.18, 0.89, 0.71
41.24, 55.61, 1.20, 0.96
57.01, 54.73, 1.20, 0.96
58.30, 49.83, 1.46, 1.17
42.12, 59.20, 1.75, 1.40
62.15, 57.08, 1.75, 1.40
58.60, 58.52, 1.76, 1.41
59.96, 60.10, 1.95, 1.56
59.81, 59.24, 1.95, 1.56
60.80, 65.27, 2.03, 1.62
57.80, 58.53, 2.18, 1.74
62.63, 59.56, 2.18, 1.74
67.30, 61.63, 2.13, 1.70
64.56, 62.47, 2.13, 1.70
61.20, 61.05, 1.91, 1.53
67.05, 59.39, 1.91, 1.53
63.93, 60.33, 1.61, 1.29
61.62, 60.34, 1.24, 0.99
61.89, 60.28, 1.24, 0.99
61.85, 62.40, 0.87, 0.70
62.45, 60.12, 0.70, 0.56
57.18, 54.61, 0.70, 0.56
61.04, 60.56, 0.47, 0.38
63.23, 60.57, 0.43, 0.34
56.31, 57.50, 0.43, 0.34
62.80, 57.42, 0.22, 0.18
63.19, 59.06, 0.22, 0.18
62.30, 57.75, 0.07, 0.06
61.21, 59.86, -0.14, -0.11
62.72, 64.63, -0.14, -0.11
64.42, 60.71, -0.23, -0.18
60.86, 62.11, -0.21, -0.17
62.30, 60.05, -0.21, -0.17
61.54, 63.26, -0.07, -0.06
62.79, 61.61, -0.07, -0.06
58.87, 62.45, 0.05, 0.04
58.10, 62.18, 0.36, 0.29
62.65, 61.16, 0.36, 0.29
59.98, 60.95, 0.53, 0.42
58.63, 58.25, 0.60, 0.48
63.72, 63.07, 0.60, 0.48
56.81, 59.55, 0.74, 0.59
59.72, 61.18, 0.88, 0.70
62.02, 61.28, 0.88, 0.70
61.35, 62.09, 0.88, 0.70
59.24, 60.05, 0.90, 0.72
60.37, 61.10, 0.90, 0.72
63.79, 64.40, 0.83, 0.66
60.53, 60.64, 0.83, 0.66
61.37, 60.91, 0.73, 0.58
64.80, 60.89, 0.65, 0.52
EndTime: 2529.00
