0.00, 0.00, 0.03, 0.03
0.00, 0.00, 0.01, 0.01
1.01, 8.48, 0.02, 0.02
18.96, 16.28, 0.02, 0.02
16.66, 16.34, 0.08, 0.08
9.01, 10.04, 0.23, 0.23
22.01, 18.04, 0.23, 0.23
26.49, 29.74, 0.36, 0.36
36.60, 37.61, 0.36, 0.36
39.15, 43.62, 0.44, 0.44
47.08, 48.07, 0.50, 0.50
46.30, 42.72, 0.50, 0.50
44.15, 53.44, 0.85, 0.85
53.58, 50.68, 1.00, 1.00
50.97, 56.17, 1.00, 1.00
55.85, 57.80, 1.18, 1.18
55.41, 48.47, 1.18, 1.18
62.63, 61.49, 1.51, 1.51
46.42, 56.17, 1.71, 1.71
60.14, 60.42, 1.71, 1.71
61.79, 61.01, 1.77, 1.77
59.99, 60.32, 1.77, 1.77
59.10, 58.76, 1.91, 1.91
62.67, 61.71, 1.93, 1.93
63.82, 61.01, 1.93, 1.93
57.72, 59.27, 1.96, 1.96
61.38, 61.75, 1.94, 1.94
65.44, 61.02, 1.94, 1.94
60.93, 59.11, 1.87, 1.87
62.59, 57.37, 1.87, 1.87
65.57, 62.50, 1.77, 1.77
62.74, 58.47, 1.36, 1.36
60.26, 61.18, 1.36, 1.36
63.42, 59.38, 1.04, 1.04
63.15, 59.12, 1.04, 1.04
58.04, 59.94, 0.56, 0.56
62.05, 60.41, 0.37, 0.37
61.55, 59.76, 0.37, 0.37
60.81, 60.02, 0.23, 0.23
60.27, 59.03, 0.28, 0.28
61.71, 63.12, 0.28, 0.28
64.06, 60.36, 0.22, 0.22
61.27, 59.94, 0.21, 0.21
61.09, 62.86, 0.21, 0.21
61.16, 61.37, 0.08, 0.08
63.17, 60.33, 0.08, 0.08
60.56, 63.15, -0.07, -0.07
62.17, 60.71, -0.16, -0.16
63.54, 63.44, -0.16, -0.16
61.29, 59.08, -0.24, -0.24
61.72, 62.45, -0.30, -0.30
64.77, 60.10, -0.30, -0.30
59.69, 60.77, -0.24, -0.24
60.94, 62.33, -0.24, -0.24
60.34, 63.26, -0.16, -0.16
60.37, 61.52, -0.01, -0.01
59.69, 59.59, -0.01, -0.01
58.65, 62.70, 0.20, 0.20
62.11, 61.49, 0.29, 0.29
63.76, 60.30, 0.29, 0.29
58.19, 60.94, 0.43, 0.43
63.26, 60.50, 0.58, 0.58
64.06, 60.73, 0.58, 0.58
60.36, 59.26, 0.83, 0.83
EndTime: 2523.00
