0.00, 0.00, 0.18, 0.09
0.00, 0.00, 0.16, 0.08
0.43, 1.40, 0.16, 0.08
16.20, 23.39, 0.16, 0.08
15.64, 35.63, 0.19, 0.10
14.29, 19.87, 0.19, 0.10
17.84, 17.18, -0.04, -0.02
23.90, 29.08, -0.00, -0.00
25.86, 31.83, -0.00, -0.00
33.58, 36.46, 0.06, 0.03
35.10, 47.72, 0.43, 0.21
46.24, 51.14, 0.43, 0.21
46.59, 39.87, 0.73, 0.37
46.92, 53.99, 0.73, 0.37
52.69, 55.97, 1.17, 0.59
42.37, 52.71, 1.66, 0.83
58.22, 54.85, 1.66, 0.83
56.24, 59.96, 2.12, 1.06
61.27, 58.92, 2.44, 1.22
60.86, 59.80, 2.44, 1.22
47.74, 65.09, 2.77, 1.38
64.22, 65.62, 2.77, 1.38
61.55, 60.00, 3.06, 1.53
58.03, 59.15, 3.35, 1.68
63.40, 61.17, 3.35, 1.68
61.09, 62.66, 3.66, 1.83
60.20, 61.38, 4.11, 2.05
60.73, 59.55, 4.11, 2.05
61.82, 60.25, 4.17, 2.09
62.29, 57.37, 4.17, 2.09
62.94, 60.10, 4.26, 2.13
63.30, 61.11, 4.01, 2.01
62.06, 56.71, 4.01, 2.01
63.79, 55.83, 3.70, 1.85
62.89, 58.46, 3.09, 1.54
63.96, 57.88, 3.09, 1.54
60.63, 56.55, 2.43, 1.21
62.83, 59.07, 1.84, 0.92
61.71, 58.51, 1.84, 0.92
61.50, 58.54, 1.60, 0.80
54.86, 61.18, 1.60, 0.80
58.66, 60.69, 1.50, 0.75
61.85, 58.79, 1.64, 0.82
56.46, 60.32, 1.64, 0.82
60.74, 63.30, 1.84, 0.92
61.69, 62.18, 1.84, 0.92
61.29, 63.26, 2.07, 1.04
61.10, 62.99, 2.32, 1.16
62.99, 64.25, 2.32, 1.16
62.69, 61.71, 2.63, 1.32
63.82, 58.98, 2.74, 1.37
59.75, 62.74, 2.74, 1.37
63.78, 59.60, 2.75, 1.37
62.39, 58.29, 2.37, 1.18
60.21, 58.98, 2.37, 1.18
67.25, 61.11, 2.03, 1.01
64.01, 58.04, 2.03, 1.01
60.19, 59.69, 1.53, 0.76
63.23, 59.27, 0.95, 0.48
63.54, 60.33, 0.95, 0.48
62.24, 62.86, 0.60, 0.30
60.90, 61.85, 0.35, 0.18
63.86, 59.74, 0.35, 0.18
63.82, 59.51, 0.14, 0.07
EndTime: 2525.00
